REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES
G-BYVP,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAM,,,,,,
G-BYVR,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAJ,,,,,,
G-BYVU,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVW,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVY,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYVZ,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWA,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWB,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWD,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWF,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWG,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWH,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWI,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWK,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWL,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWM,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWN,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWO,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWR,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWS,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWU,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWV,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWW,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWX,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWY,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYWZ,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXA,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXC,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXD,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXE,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXF,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXG,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXH,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXI,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXJ,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXK,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXL,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXM,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXO,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAM,,,,,,
G-BYXP,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXS,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXT,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXX,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYXZ,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,CWL,,,,,,
G-BYYA,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,,,,,,,
G-BYYB,BABCOCK AEROSPACE LTD,G115,TUTOR,,BM,M,,,UAM,,,,,,
